# Asplund et al 2009, ARAA
Ag  1.20 47
Al  6.43 13
Ar  6.40 18
As  2.30 33
Au  0.80 79
B   2.79  5
Ba  2.16 56
Be  1.30  4
C   8.43  6
Ca  6.29 20
Ce  1.58 58
Cd  1.71 48
Cl  5.23 17
Co  4.87 27
Cr  5.64 24
Cu  4.25 29
Eu  0.51 63
F   4.42  9
Fe  7.45 26
Ga  3.08 31
Ge  3.58 32
H  12.00  1
He 10.93  2
K   5.08 19
Kr  3.25 36
La  1.17 57
Li  3.26  3
Mg  7.53 12
Mn  5.48 25
Mo  1.94 42
N   7.83  7
Na  6.27 11
Ne  7.93 10
Nd  1.45 60
Ni  6.20 28
O   8.69  8
P   5.43 15
Pb  2.04 82
Rb  2.36 37
S   7.15 16
Sc  3.05 21
Se  3.34 34
Si  7.51 14
Sm  0.94 62
Sn  2.07 50
Te  2.18 52
Ti  4.91 22
Tl  0.77 81
V   3.96 23
Xe  2.24 54
Y   2.17 39
Zn  4.63 30
Zr  2.53 40
D   7.00 99
# from here down copied by hand by NT from Table 1 of Asplund 2009 (meteoric)
In  0.76 49
Sr  2.88 38
Nb  1.41 41
Ru  1.76 44
Br  2.54 35
Rh  1.06 45
Pd  1.65 46
Sb  1.01 51
I   1.55 53
Cs  1.08 55
Pr  0.76 59
Gd  1.05 64
Tb  0.32 65
Dy  1.13 66
Ho  0.47 67
Er  0.92 68
Tm  0.12 69
Yb  0.92 70
Lu  0.09 71
Hf  0.71 72
Ta -0.12 73
W   0.65 74
Re  0.26 75
Os  1.35 76
Ir  1.32 77
Pt  1.62 78
Hg  1.17 80
Bi  0.65 83
Th  0.06 90
U  -0.54 92
