STIS Model Line Spread Function vs Aperture at 120 nm (Modified for linetools)
Rel pixel    0.1x0.03  0.2x0.09   0.2x0.2     6x0.2
 -9.295        0.0001    0.0001    0.0001    0.0001
 -9.218        0.0001    0.0001    0.0001    0.0001
 -9.140        0.0001    0.0001    0.0001    0.0001
 -9.063        0.0001    0.0001    0.0001    0.0002
 -8.985        0.0001    0.0001    0.0002    0.0002
 -8.908        0.0001    0.0001    0.0002    0.0002
 -8.830        0.0001    0.0001    0.0002    0.0002
 -8.753        0.0001    0.0002    0.0002    0.0002
 -8.675        0.0002    0.0002    0.0002    0.0003
 -8.598        0.0002    0.0002    0.0003    0.0003
 -8.521        0.0002    0.0002    0.0003    0.0003
 -8.443        0.0002    0.0002    0.0003    0.0003
 -8.366        0.0002    0.0003    0.0003    0.0004
 -8.288        0.0003    0.0003    0.0004    0.0004
 -8.211        0.0003    0.0003    0.0004    0.0005
 -8.133        0.0003    0.0004    0.0005    0.0005
 -8.056        0.0004    0.0004    0.0005    0.0005
 -7.978        0.0004    0.0004    0.0005    0.0006
 -7.901        0.0004    0.0005    0.0006    0.0006
 -7.823        0.0005    0.0005    0.0006    0.0007
 -7.746        0.0005    0.0006    0.0007    0.0008
 -7.668        0.0006    0.0006    0.0008    0.0008
 -7.591        0.0006    0.0007    0.0008    0.0009
 -7.514        0.0007    0.0007    0.0009    0.0010
 -7.436        0.0008    0.0008    0.0010    0.0010
 -7.359        0.0008    0.0009    0.0011    0.0011
 -7.281        0.0009    0.0010    0.0011    0.0012
 -7.204        0.0010    0.0010    0.0012    0.0013
 -7.126        0.0011    0.0011    0.0013    0.0014
 -7.049        0.0012    0.0012    0.0014    0.0015
 -6.971        0.0013    0.0013    0.0016    0.0017
 -6.894        0.0014    0.0014    0.0017    0.0018
 -6.816        0.0015    0.0016    0.0018    0.0019
 -6.739        0.0016    0.0017    0.0020    0.0021
 -6.661        0.0017    0.0018    0.0021    0.0022
 -6.584        0.0019    0.0020    0.0023    0.0024
 -6.507        0.0020    0.0021    0.0024    0.0026
