STIS Model Line Spread Function vs Aperture at 150 nm
Rel pixel    0.1x0.03  0.2x0.09   0.2x0.2     6x0.2
 -9.140        0.0001    0.0001    0.0001    0.0001
 -9.063        0.0001    0.0001    0.0001    0.0001
 -8.985        0.0001    0.0001    0.0001    0.0002
 -8.908        0.0001    0.0001    0.0002    0.0002
 -8.830        0.0001    0.0001    0.0002    0.0002
 -8.753        0.0001    0.0002    0.0002    0.0002
 -8.675        0.0002    0.0002    0.0002    0.0002
 -8.598        0.0002    0.0002    0.0002    0.0003
 -8.521        0.0002    0.0002    0.0003    0.0003
 -8.443        0.0002    0.0002    0.0003    0.0003
 -8.366        0.0002    0.0003    0.0003    0.0003
 -8.288        0.0003    0.0003    0.0004    0.0004
 -8.211        0.0003    0.0003    0.0004    0.0004
 -8.133        0.0003    0.0003    0.0004    0.0005
 -8.056        0.0004    0.0004    0.0005    0.0005
 -7.978        0.0004    0.0004    0.0005    0.0005
 -7.901        0.0004    0.0005    0.0005    0.0006
 -7.823        0.0005    0.0005    0.0006    0.0006
 -7.746        0.0005    0.0006    0.0007    0.0007
 -7.668        0.0006    0.0006    0.0007    0.0008
 -7.591        0.0006    0.0007    0.0008    0.0008
 -7.514        0.0007    0.0007    0.0008    0.0009
 -7.436        0.0008    0.0008    0.0009    0.0010
 -7.359        0.0008    0.0009    0.0010    0.0011
 -7.281        0.0009    0.0009    0.0011    0.0011
 -7.204        0.0010    0.0010    0.0012    0.0012
 -7.126        0.0011    0.0011    0.0013    0.0013
 -7.049        0.0012    0.0012    0.0014    0.0015
 -6.971        0.0013    0.0013    0.0015    0.0016
 -6.894        0.0014    0.0014    0.0016    0.0017
 -6.816        0.0015    0.0015    0.0017    0.0018
 -6.739        0.0016    0.0017    0.0019    0.0020
 -6.661        0.0017    0.0018    0.0020    0.0021
 -6.584        0.0019    0.0019    0.0022    0.0023
 -6.507        0.0020    0.0021    0.0023    0.0024
 -6.429        0.0022    0.0023    0.0025    0.0026
 -6.352        0.0024    0.0024    0.0027    0.0028
 -6.274        0.0025    0.0026    0.0029    0.0030
 -6.197        0.0027    0.0028    0.0031    0.0032
 -6.119        0.0030    0.0030    0.0033    0.0035
 -6.042        0.0032    0.0033    0.0036    0.0037
 -5.964        0.0034    0.0035    0.0038    0.0039
 -5.887        0.0037    0.0038    0.0041    0.0042
 -5.809        0.0039    0.0040    0.0043    0.0045
 -5.732        0.0042    0.0043    0.0046    0.0048
 -5.655        0.0045    0.0046    0.0049    0.0051
 -5.577        0.0048    0.0049    0.0052    0.0054
 -5.500        0.0051    0.0052    0.0056    0.0058
 -5.422        0.0055    0.0056    0.0059    0.0061
 -5.345        0.0058    0.0060    0.0063    0.0065
 -5.267        0.0062    0.0063    0.0067    0.0069
 -5.190        0.0066    0.0067    0.0071    0.0073
 -5.112        0.0070    0.0072    0.0075    0.0077
 -5.035        0.0075    0.0076    0.0079    0.0081
 -4.957        0.0079    0.0081    0.0084    0.0086
 -4.880        0.0084    0.0085    0.0089    0.0091
 -4.802        0.0089    0.0090    0.0094    0.0096
 -4.725        0.0094    0.0095    0.0099    0.0101
