STIS Model Line Spread Function vs Aperture at 120 nm (Modified for linetools)
Rel pixel    0.1x0.03  0.2x0.06   0.2x0.2     6x0.2
 -9.498        0.0001    0.0001    0.0001    0.0002
 -9.397        0.0001    0.0001    0.0001    0.0002
 -9.296        0.0001    0.0001    0.0002    0.0002
 -9.195        0.0001    0.0001    0.0002    0.0002
 -9.094        0.0001    0.0001    0.0002    0.0002
 -8.993        0.0001    0.0001    0.0002    0.0003
 -8.892        0.0001    0.0001    0.0003    0.0003
 -8.791        0.0002    0.0002    0.0003    0.0003
 -8.690        0.0002    0.0002    0.0003    0.0004
 -8.589        0.0002    0.0002    0.0004    0.0004
 -8.488        0.0002    0.0002    0.0004    0.0005
 -8.387        0.0003    0.0003    0.0005    0.0005
 -8.286        0.0003    0.0003    0.0005    0.0006
 -8.185        0.0003    0.0004    0.0006    0.0007
 -8.084        0.0004    0.0004    0.0007    0.0007
 -7.983        0.0004    0.0005    0.0007    0.0008
 -7.882        0.0005    0.0005    0.0008    0.0009
 -7.781        0.0006    0.0006    0.0009    0.0010
 -7.680        0.0006    0.0007    0.0010    0.0011
 -7.578        0.0007    0.0007    0.0011    0.0012
 -7.477        0.0008    0.0008    0.0012    0.0014
 -7.376        0.0009    0.0009    0.0014    0.0015
 -7.275        0.0010    0.0010    0.0015    0.0017
 -7.174        0.0011    0.0012    0.0016    0.0018
 -7.073        0.0012    0.0013    0.0018    0.0020
 -6.972        0.0014    0.0014    0.0020    0.0022
 -6.871        0.0015    0.0016    0.0022    0.0024
 -6.770        0.0017    0.0018    0.0024    0.0026
 -6.669        0.0019    0.0020    0.0026    0.0029
 -6.568        0.0021    0.0022    0.0029    0.0031
 -6.467        0.0023    0.0024    0.0031    0.0034
 -6.366        0.0026    0.0027    0.0034    0.0037
 -6.265        0.0028    0.0029    0.0037    0.0040
 -6.164        0.0031    0.0032    0.0041    0.0043
 -6.063        0.0034    0.0035    0.0044    0.0047
 -5.962        0.0038    0.0039    0.0048    0.0051
 -5.861        0.0041    0.0042    0.0052    0.0055
 -5.760        0.0045    0.0046    0.0056    0.0059
 -5.659        0.0049    0.0051    0.0060    0.0064
 -5.558        0.0054    0.0055    0.0065    0.0069
 -5.457        0.0059    0.0060    0.0070    0.0074
 -5.355        0.0064    0.0065    0.0076    0.0080
 -5.254        0.0069    0.0071    0.0081    0.0085
 -5.153        0.0075    0.0076    0.0087    0.0091
 -5.052        0.0081    0.0083    0.0094    0.0098
 -4.951        0.0088    0.0089    0.0100    0.0104
 -4.850        0.0095    0.0096    0.0107    0.0111
 -4.749        0.0102    0.0103    0.0114    0.0119
 -4.648        0.0110    0.0111    0.0122    0.0126
 -4.547        0.0118    0.0119    0.0130    0.0134
 -4.446        0.0126    0.0128    0.0138    0.0142
 -4.345        0.0135    0.0136    0.0146    0.0151
 -4.244        0.0144    0.0146    0.0155    0.0160
 -4.143        0.0154    0.0155    0.0164    0.0169
 -4.042        0.0164    0.0165    0.0174    0.0178
 -3.941        0.0174    0.0176    0.0184    0.0188
 -3.840        0.0185    0.0186    0.0194    0.0198
 -3.739        0.0196    0.0197    0.0204    0.0208
 -3.638        0.0208    0.0209    0.0215    0.0219
 -3.537        0.0220    0.0221    0.0227    0.0231
 -3.436        0.0232    0.0233    0.0240    0.0246
 -3.335        0.0244    0.0245    0.0257    0.0265
 -3.233        0.0257    0.0257    0.0280    0.0292
 -3.132        0.0270    0.0270    0.0310    0.0331
 -3.031        0.0283    0.0283    0.0351    0.0386
 -2.930        0.0297    0.0296    0.0403    0.0457
 -2.829        0.0310    0.0310    0.0464    0.0540
 -2.728        0.0324    0.0323    0.0530    0.0630
 -2.627        0.0337    0.0337    0.0595    0.0718
 -2.526        0.0351    0.0350    0.0656    0.0796
 -2.425        0.0365    0.0364    0.0710    0.0863
 -2.324        0.0378    0.0377    0.0758    0.0919
 -2.223        0.0392    0.0390    0.0805    0.0968
 -2.122        0.0405    0.0404    0.0854    0.1014
 -2.021        0.0419    0.0417    0.0907    0.1063
 -1.920        0.0431    0.0430    0.0967    0.1114
 -1.819        0.0444    0.0443    0.1031    0.1170
 -1.718        0.0456    0.0457    0.1101    0.1230
 -1.617        0.0469    0.0474    0.1174    0.1294
 -1.516        0.0480    0.0500    0.1251    0.1361
 -1.415        0.0493    0.0545    0.1333    0.1434
 -1.314        0.0509    0.0626    0.1423    0.1515
 -1.213        0.0536    0.0767    0.1527    0.1608
 -1.112        0.0590    0.0996    0.1653    0.1721
 -1.010        0.0703    0.1336    0.1811    0.1863
 -0.909        0.0927    0.1803    0.2016    0.2043
 -0.808        0.1336    0.2398    0.2280    0.2271
 -0.707        0.2007    0.3106    0.2613    0.2556
 -0.606        0.2995    0.3900    0.3017    0.2898
 -0.505        0.4294    0.4745    0.3481    0.3288
 -0.404        0.5809    0.5592    0.3977    0.3701
 -0.303        0.7362    0.6377    0.4459    0.4099
 -0.202        0.8719    0.7025    0.4869    0.4436
