STIS Model Line Spread Function vs Aperture at 150 nm
Rel pixel    0.1x0.03  0.2x0.06   0.2x0.2     6x0.2
 -9.397        0.0001    0.0001    0.0001    0.0001
 -9.296        0.0001    0.0001    0.0001    0.0002
 -9.195        0.0001    0.0001    0.0002    0.0002
 -9.094        0.0001    0.0001    0.0002    0.0002
 -8.993        0.0001    0.0001    0.0002    0.0002
 -8.892        0.0001    0.0001    0.0002    0.0003
 -8.791        0.0002    0.0002    0.0003    0.0003
 -8.690        0.0002    0.0002    0.0003    0.0003
 -8.589        0.0002    0.0002    0.0003    0.0004
 -8.488        0.0002    0.0002    0.0004    0.0004
 -8.387        0.0003    0.0003    0.0004    0.0005
 -8.286        0.0003    0.0003    0.0005    0.0005
 -8.185        0.0003    0.0004    0.0005    0.0006
 -8.084        0.0004    0.0004    0.0006    0.0007
 -7.983        0.0004    0.0005    0.0007    0.0007
 -7.882        0.0005    0.0005    0.0007    0.0008
 -7.781        0.0006    0.0006    0.0008    0.0009
 -7.680        0.0006    0.0007    0.0009    0.0010
 -7.578        0.0007    0.0007    0.0010    0.0011
 -7.477        0.0008    0.0008    0.0011    0.0012
 -7.376        0.0009    0.0009    0.0012    0.0014
 -7.275        0.0010    0.0010    0.0014    0.0015
 -7.174        0.0011    0.0011    0.0015    0.0016
 -7.073        0.0012    0.0013    0.0017    0.0018
 -6.972        0.0014    0.0014    0.0018    0.0020
 -6.871        0.0015    0.0016    0.0020    0.0022
 -6.770        0.0017    0.0018    0.0022    0.0024
 -6.669        0.0019    0.0019    0.0024    0.0026
 -6.568        0.0021    0.0022    0.0027    0.0029
 -6.467        0.0023    0.0024    0.0029    0.0031
 -6.366        0.0026    0.0026    0.0032    0.0034
 -6.265        0.0028    0.0029    0.0035    0.0037
 -6.164        0.0031    0.0032    0.0038    0.0040
 -6.063        0.0034    0.0035    0.0041    0.0044
 -5.962        0.0037    0.0038    0.0045    0.0048
 -5.861        0.0041    0.0042    0.0049    0.0052
 -5.760        0.0045    0.0046    0.0053    0.0056
 -5.659        0.0049    0.0050    0.0057    0.0060
 -5.558        0.0054    0.0054    0.0062    0.0065
 -5.457        0.0058    0.0059    0.0067    0.0070
 -5.355        0.0063    0.0064    0.0072    0.0076
 -5.254        0.0069    0.0070    0.0078    0.0081
 -5.153        0.0075    0.0076    0.0084    0.0087
 -5.052        0.0081    0.0082    0.0090    0.0093
 -4.951        0.0087    0.0088    0.0097    0.0100
 -4.850        0.0094    0.0095    0.0103    0.0107
 -4.749        0.0101    0.0102    0.0111    0.0114
 -4.648        0.0109    0.0110    0.0118    0.0122
 -4.547        0.0117    0.0118    0.0126    0.0129
 -4.446        0.0125    0.0126    0.0134    0.0138
 -4.345        0.0134    0.0135    0.0143    0.0146
 -4.244        0.0143    0.0144    0.0152    0.0155
 -4.143        0.0153    0.0154    0.0161    0.0164
 -4.042        0.0163    0.0164    0.0170    0.0173
