STIS Model Line Spread Function vs Aperture at 240 nm
Rel pixel      52x0.1    52x0.2    52x0.5    52x2.0
-34.640        0.0000    0.0000    0.0000    0.0004
-34.514        0.0000    0.0000    0.0000    0.0005
-34.389        0.0000    0.0000    0.0000    0.0006
-34.263        0.0000    0.0000    0.0000    0.0007
-34.138        0.0000    0.0000    0.0000    0.0007
-34.012        0.0000    0.0000    0.0000    0.0008
-33.887        0.0000    0.0000    0.0000    0.0009
-33.761        0.0000    0.0000    0.0000    0.0009
-33.636        0.0000    0.0000    0.0000    0.0010
-33.510        0.0000    0.0000    0.0000    0.0010
-33.385        0.0000    0.0000    0.0000    0.0011
-33.259        0.0000    0.0000    0.0000    0.0011
-33.134        0.0000    0.0000    0.0000    0.0012
-33.008        0.0000    0.0000    0.0000    0.0012
-32.883        0.0000    0.0000    0.0000    0.0012
-32.757        0.0000    0.0000    0.0000    0.0012
-32.632        0.0000    0.0000    0.0000    0.0013
-32.506        0.0000    0.0000    0.0000    0.0013
-32.381        0.0000    0.0000    0.0000    0.0013
-32.255        0.0000    0.0000    0.0000    0.0013
-32.130        0.0000    0.0000    0.0000    0.0014
-32.004        0.0000    0.0000    0.0000    0.0014
-31.879        0.0000    0.0000    0.0000    0.0014
-31.753        0.0000    0.0000    0.0000    0.0015
-31.628        0.0000    0.0000    0.0000    0.0015
-31.502        0.0000    0.0000    0.0000    0.0015
-31.377        0.0000    0.0000    0.0000    0.0015
-31.251        0.0000    0.0000    0.0000    0.0016
-31.126        0.0000    0.0000    0.0000    0.0016
-31.000        0.0000    0.0000    0.0000    0.0016
-30.875        0.0000    0.0000    0.0000    0.0016
-30.749        0.0000    0.0000    0.0000    0.0016
-30.624        0.0000    0.0000    0.0000    0.0017
-30.498        0.0000    0.0000    0.0000    0.0017
-30.373        0.0000    0.0000    0.0000    0.0017
-30.247        0.0000    0.0000    0.0000    0.0017
-30.122        0.0000    0.0000    0.0000    0.0017
-29.996        0.0000    0.0000    0.0000    0.0017
-29.871        0.0000    0.0000    0.0000    0.0018
-29.745        0.0000    0.0000    0.0000    0.0018
-29.620        0.0000    0.0000    0.0000    0.0018
-29.494        0.0000    0.0000    0.0000    0.0018
-29.369        0.0000    0.0000    0.0000    0.0018
-29.243        0.0000    0.0000    0.0000    0.0019
-29.118        0.0000    0.0000    0.0000    0.0019
-28.992        0.0000    0.0000    0.0000    0.0019
-28.867        0.0000    0.0000    0.0000    0.0019
-28.741        0.0000    0.0000    0.0000    0.0019
-28.616        0.0000    0.0000    0.0000    0.0019
-28.490        0.0000    0.0000    0.0000    0.0019
-28.365        0.0000    0.0000    0.0000    0.0019
-28.239        0.0000    0.0000    0.0000    0.0019
-28.114        0.0000    0.0000    0.0000    0.0020
-27.988        0.0000    0.0000    0.0000    0.0020
-27.863        0.0000    0.0000    0.0000    0.0020
-27.737        0.0000    0.0000    0.0000    0.0020
-27.612        0.0000    0.0000    0.0000    0.0020
-27.486        0.0000    0.0000    0.0000    0.0020
-27.361        0.0000    0.0000    0.0000    0.0020
-27.235        0.0000    0.0000    0.0000    0.0021
-27.110        0.0000    0.0000    0.0000    0.0021
-26.984        0.0000    0.0000    0.0000    0.0021
-26.859        0.0000    0.0000    0.0000    0.0021
-26.733        0.0000    0.0000    0.0000    0.0021
-26.608        0.0000    0.0000    0.0000    0.0021
-26.482        0.0000    0.0000    0.0000    0.0021
-26.357        0.0000    0.0000    0.0000    0.0021
-26.231        0.0000    0.0000    0.0000    0.0022
-26.105        0.0000    0.0000    0.0000    0.0022
-25.980        0.0000    0.0000    0.0000    0.0022
-25.854        0.0000    0.0000    0.0000    0.0022
-25.729        0.0000    0.0000    0.0000    0.0022
-25.603        0.0000    0.0000    0.0000    0.0022
-25.478        0.0000    0.0000    0.0000    0.0022
-25.352        0.0000    0.0000    0.0000    0.0022
-25.227        0.0000    0.0000    0.0000    0.0023
-25.101        0.0000    0.0000    0.0000    0.0023
-24.976        0.0000    0.0000    0.0000    0.0023
-24.850        0.0000    0.0000    0.0000    0.0024
-24.725        0.0000    0.0000    0.0000    0.0024
-24.599        0.0000    0.0000    0.0000    0.0025
-24.474        0.0000    0.0000    0.0000    0.0025
-24.348        0.0000    0.0000    0.0000    0.0026
-24.223        0.0000    0.0000    0.0000    0.0026
-24.097        0.0000    0.0000    0.0000    0.0026
-23.972        0.0000    0.0000    0.0000    0.0027
-23.846        0.0000    0.0000    0.0000    0.0027
-23.721        0.0000    0.0000    0.0000    0.0028
-23.595        0.0000    0.0000    0.0000    0.0028
-23.470        0.0000    0.0000    0.0000    0.0028
-23.344        0.0000    0.0000    0.0000    0.0029
-23.219        0.0000    0.0000    0.0000    0.0029
-23.093        0.0000    0.0000    0.0000    0.0029
-22.968        0.0000    0.0000    0.0000    0.0029
-22.842        0.0000    0.0000    0.0000    0.0029
-22.717        0.0000    0.0000    0.0000    0.0030
-22.591        0.0000    0.0000    0.0000    0.0030
-22.466        0.0000    0.0000    0.0000    0.0030
-22.340        0.0000    0.0000    0.0000    0.0030
-22.215        0.0000    0.0000    0.0000    0.0030
-22.089        0.0000    0.0000    0.0000    0.0031
-21.964        0.0000    0.0000    0.0000    0.0031
-21.838        0.0000    0.0000    0.0000    0.0031
-21.713        0.0000    0.0000    0.0000    0.0031
-21.587        0.0000    0.0000    0.0000    0.0032
-21.462        0.0000    0.0000    0.0000    0.0032
-21.336        0.0000    0.0000    0.0000    0.0032
-21.211        0.0000    0.0000    0.0000    0.0032
-21.085        0.0000    0.0000    0.0000    0.0033
-20.960        0.0000    0.0000    0.0000    0.0033
-20.834        0.0000    0.0000    0.0000    0.0033
-20.709        0.0000    0.0000    0.0000    0.0034
-20.583        0.0000    0.0000    0.0000    0.0034
-20.458        0.0000    0.0000    0.0000    0.0035
-20.332        0.0000    0.0000    0.0000    0.0035
-20.207        0.0000    0.0000    0.0000    0.0036
-20.081        0.0000    0.0000    0.0000    0.0037
-19.956        0.0000    0.0000    0.0000    0.0037
-19.830        0.0000    0.0000    0.0000    0.0038
-19.705        0.0000    0.0000    0.0000    0.0039
-19.579        0.0000    0.0000    0.0000    0.0039
-19.454        0.0000    0.0000    0.0000    0.0040
-19.328        0.0000    0.0000    0.0000    0.0041
-19.203        0.0000    0.0000    0.0000    0.0041
-19.077        0.0000    0.0000    0.0000    0.0042
