STIS Model Line Spread Function vs Aperture at 320 nm
Rel_pixel      52x0.1    52x0.2    52x0.5    52x2.0
-20.093        0.0000    0.0000    0.0000    0.0005
-20.020        0.0000    0.0000    0.0000    0.0005
-19.947        0.0000    0.0000    0.0000    0.0006
-19.874        0.0000    0.0000    0.0000    0.0007
-19.802        0.0000    0.0000    0.0000    0.0008
-19.729        0.0000    0.0000    0.0000    0.0009
-19.656        0.0000    0.0000    0.0000    0.0009
-19.583        0.0000    0.0000    0.0000    0.0010
-19.510        0.0000    0.0000    0.0000    0.0010
-19.438        0.0000    0.0000    0.0000    0.0011
-19.365        0.0000    0.0000    0.0000    0.0011
-19.292        0.0000    0.0000    0.0000    0.0012
-19.219        0.0000    0.0000    0.0000    0.0012
-19.146        0.0000    0.0000    0.0000    0.0012
-19.074        0.0000    0.0000    0.0000    0.0012
-19.001        0.0000    0.0000    0.0000    0.0013
-18.928        0.0000    0.0000    0.0000    0.0013
-18.855        0.0000    0.0000    0.0000    0.0013
-18.782        0.0000    0.0000    0.0000    0.0013
-18.710        0.0000    0.0000    0.0000    0.0014
-18.637        0.0000    0.0000    0.0000    0.0014
-18.564        0.0000    0.0000    0.0000    0.0014
-18.491        0.0000    0.0000    0.0000    0.0014
-18.418        0.0000    0.0000    0.0000    0.0014
-18.346        0.0000    0.0000    0.0000    0.0015
-18.273        0.0000    0.0000    0.0000    0.0015
-18.200        0.0000    0.0000    0.0000    0.0015
-18.127        0.0000    0.0000    0.0000    0.0015
-18.054        0.0000    0.0000    0.0000    0.0015
-17.982        0.0000    0.0000    0.0000    0.0015
-17.909        0.0000    0.0000    0.0000    0.0015
-17.836        0.0000    0.0000    0.0000    0.0015
-17.763        0.0000    0.0000    0.0000    0.0015
-17.690        0.0000    0.0000    0.0000    0.0015
-17.618        0.0000    0.0000    0.0000    0.0015
-17.545        0.0000    0.0000    0.0000    0.0015
-17.472        0.0000    0.0000    0.0000    0.0016
-17.399        0.0000    0.0000    0.0000    0.0016
-17.326        0.0000    0.0000    0.0000    0.0016
-17.254        0.0000    0.0000    0.0000    0.0016
-17.181        0.0000    0.0000    0.0000    0.0016
-17.108        0.0000    0.0000    0.0000    0.0016
-17.035        0.0000    0.0000    0.0000    0.0016
-16.962        0.0000    0.0000    0.0000    0.0016
-16.890        0.0000    0.0000    0.0000    0.0016
-16.817        0.0000    0.0000    0.0000    0.0016
-16.744        0.0000    0.0000    0.0000    0.0016
-16.671        0.0000    0.0000    0.0000    0.0016
-16.598        0.0000    0.0000    0.0000    0.0016
