STIS Model Line Spread Function vs Aperture at 700 nm
Rel pixel      52x0.1    52x0.2    52x0.5    52x2.0
-19.874        0.0000    0.0000    0.0000    0.0004
-19.802        0.0000    0.0000    0.0000    0.0005
-19.729        0.0000    0.0000    0.0000    0.0005
-19.656        0.0000    0.0000    0.0000    0.0006
-19.583        0.0000    0.0000    0.0000    0.0006
-19.510        0.0000    0.0000    0.0000    0.0007
-19.438        0.0000    0.0000    0.0000    0.0007
-19.365        0.0000    0.0000    0.0000    0.0007
-19.292        0.0000    0.0000    0.0000    0.0008
-19.219        0.0000    0.0000    0.0000    0.0008
-19.146        0.0000    0.0000    0.0000    0.0008
-19.074        0.0000    0.0000    0.0000    0.0008
-19.001        0.0000    0.0000    0.0000    0.0008
-18.928        0.0000    0.0000    0.0000    0.0008
-18.855        0.0000    0.0000    0.0000    0.0009
-18.782        0.0000    0.0000    0.0000    0.0009
-18.710        0.0000    0.0000    0.0000    0.0009
-18.637        0.0000    0.0000    0.0000    0.0009
-18.564        0.0000    0.0000    0.0000    0.0009
-18.491        0.0000    0.0000    0.0000    0.0009
-18.418        0.0000    0.0000    0.0000    0.0008
-18.346        0.0000    0.0000    0.0000    0.0008
-18.273        0.0000    0.0000    0.0000    0.0008
-18.200        0.0000    0.0000    0.0000    0.0008
-18.127        0.0000    0.0000    0.0000    0.0008
-18.054        0.0000    0.0000    0.0000    0.0008
-17.982        0.0000    0.0000    0.0000    0.0008
-17.909        0.0000    0.0000    0.0000    0.0008
-17.836        0.0000    0.0000    0.0000    0.0008
-17.763        0.0000    0.0000    0.0000    0.0008
-17.690        0.0000    0.0000    0.0000    0.0008
-17.618        0.0000    0.0000    0.0000    0.0008
-17.545        0.0000    0.0000    0.0000    0.0009
-17.472        0.0000    0.0000    0.0000    0.0009
-17.399        0.0000    0.0000    0.0000    0.0009
-17.326        0.0000    0.0000    0.0000    0.0009
-17.254        0.0000    0.0000    0.0000    0.0009
-17.181        0.0000    0.0000    0.0000    0.0009
-17.108        0.0000    0.0000    0.0000    0.0009
-17.035        0.0000    0.0000    0.0000    0.0009
-16.962        0.0000    0.0000    0.0000    0.0009
-16.890        0.0000    0.0000    0.0000    0.0010
-16.817        0.0000    0.0000    0.0000    0.0010
-16.744        0.0000    0.0000    0.0000    0.0010
-16.671        0.0000    0.0000    0.0000    0.0010
-16.598        0.0000    0.0000    0.0000    0.0010
-16.526        0.0000    0.0000    0.0000    0.0010
-16.453        0.0000    0.0000    0.0000    0.0010
-16.380        0.0000    0.0000    0.0000    0.0010
-16.307        0.0000    0.0000    0.0000    0.0010
-16.234        0.0000    0.0000    0.0000    0.0010
-16.162        0.0000    0.0000    0.0000    0.0009
-16.089        0.0000    0.0000    0.0000    0.0009
-16.016        0.0000    0.0000    0.0000    0.0009
-15.943        0.0000    0.0000    0.0000    0.0010
-15.870        0.0000    0.0000    0.0000    0.0010
-15.798        0.0000    0.0000    0.0000    0.0010
-15.725        0.0000    0.0000    0.0000    0.0010
-15.652        0.0000    0.0000    0.0000    0.0010
-15.579        0.0000    0.0000    0.0000    0.0010
-15.506        0.0000    0.0000    0.0000    0.0010
-15.434        0.0000    0.0000    0.0000    0.0010
-15.361        0.0000    0.0000    0.0000    0.0010
